act-name,see,aka
"African Elephant Conservation Reauthorization Act of 2001	",,
"African Famine Relief and Recovery Act of 1985	",,
"African Growth and Opportunity Act	",,
"Age Discrimination Act of 1975	",,
"Age Discrimination Claims Assistance Act of 1988	",,
"Age Discrimination Claims Assistance Amendments of 1990	",,
"Age Discrimination in Employment Act Amendments of 1978	",,
"Age Discrimination in Employment Act of 1967	",,
"Age Discrimination in Employment Amendments of 1986	",,
"Age Discrimination in Employment Amendments of 1996	",,
"Agency for Health Care Policy and Research Reauthorization Act of 1992	",,
"Agent Orange Act of 1991	",,
"Aging Aircraft Safety Act of 1991	",,
"AGOA Acceleration Act of 2004	",,
"Agricultural Act of 1948	",,
"Agricultural Act of 1949	",,
"Agricultural Act of 1954	",,
"Agricultural Act of 1956	",,
"Agricultural Act of 1958	",,
"Agricultural Act of 1961	",,
"Agricultural Act of 1964	",,
"Agricultural Act of 1970	",,
"Agricultural Act of 1980	",,
"Agricultural Adjustment Act of 1933	","See Agricultural Adjustment Act	",
"Agricultural Adjustment Act of 1937	","See Agricultural Marketing Agreement Act of 1937	",
"Agricultural Adjustment Act of 1938	",,
"Agricultural Adjustment Act of 1980	",,
Agricultural Adjustment Act,,
"Agricultural Aid and Trade Missions Act	",,
"Agricultural Appropriation Act, 1940	",,
"Agricultural Assistance Act of 2003	",,
"Agricultural Bioterrorism Protection Act of 2002	",,
"Agricultural College Act of 1890	",,"Also known as the Second Morrill Act	"
"Agricultural Competitiveness and Trade Act of 1988	",,
"Agricultural Credit Act of 1978	",,
"Agricultural Credit Act of 1987	",,
"Agricultural Credit Act of 2010	",,
"Agricultural Credit Corporations Act	",,
"Agricultural Credit Improvement Act of 1992	",,
"Agricultural Credit Technical Corrections Act of 1988	",,
"Agricultural Credits Act of 1923	",,
"Agricultural Debt Relief Act	","See Frazier-Lemke Farm-Mortgage Act	",
"Agricultural Development and Trade Act of 1990	",,
"Agricultural Enabling Amendments Act of 1961	",,
"Agricultural Extension Work Act	","See Smith-Lever Act	",
"Agricultural Fair Practices Act of 1967	",,
"Agricultural Foreign Investment Disclosure Act of 1978	",,
"Agricultural Market Transition Act	",,
Agricultural Marketing Act of 1946,,
"Agricultural Marketing Act	",,
"Agricultural Marketing Agreement Act of 1937	",,
"Agricultural Program Reporting and Recordkeeping Improvement Act of 1990	",,
"Agricultural Programs Adjustment Act of 1984	",,
"Agricultural Promotion Programs Act of 1990	",,
"Agricultural Reconciliation Act of 1987	",,
"Agricultural Reconciliation Act of 1989	",,
"Agricultural Reconciliation Act of 1990	",,
"Agricultural Reconciliation Act of 1993	",,
"Agricultural Reconciliation Act of 2005	",,
"Agricultural Research Act	",,"Also known as the Bankhead-Jones Act	"
"Agricultural Research, Extension, and Education Reform Act of 1998 ",,
"Agricultural Risk Protection Act of 2000	",,
"Agricultural Security Improvement Act of 2008	",,
Agricultural Security Improvement Act of 2008,,
"Agricultural Subterminal Facilities Act of 1980	",,
"Agricultural Trade Act of 1978	",,
Agricultural Trade and Export Policy Commission Act,,
"Agricultural Trade Development and Assistance Act of 1954	","Renamed Food for Peace Act	",
"Agricultural Trade Suspension Adjustment Act of 1980	",,
"Agricultural, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1995 ",,
"Agriculture and Consumer Protection Act of 1973	",,
"Agriculture and Food Act of 1981	",,
"Agriculture and Related Agencies Appropriation Act, 1976	",,
"Agriculture and Related Agencies Appropriation Act, 1977	",,
"Agriculture and Related Agencies Appropriation Act, 1978	",,
"Agriculture and Water Policy Coordination Act	",,
"Agriculture Export Relief Act of 1998	",,
"Agriculture Regulatory Act	",,
"Agriculture, Rural Development, and Related Agencies Appropriation Act, 1979 ",,
"Agriculture, Rural Development, and Related Agencies Appropriation Act, 1980 ",,
"Agriculture, Rural Development, and Related Agencies Appropriation Act, 1981 ",,
"Agriculture, Rural Development, and Related Agencies Appropriation Act, 1982 ",,
"Agriculture, Rural Development, and Related Agencies Appropriations Act, 1983 ",,
"Agriculture, Rural Development, and Related Agencies Appropriations Act, 1986 ",,
"Agriculture, Rural Development, and Related Agencies Appropriations  Act, 1987",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1992",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1993 ",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1994",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1996",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1997",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1998",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1999 ",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2001",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2002",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2003",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2004",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2005",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2006",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2008",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2009",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2010",,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2012",,
"Agriculture-Environmental and Consumer Protection Appropriation Act, 1972	",,
"Agriculture-Environmental and Consumer Protection Appropriation Act, 1973	",,
"Agriculture-Environmental and Consumer Protection Appropriation Act, 1974	",,
"Agriculture-Environmental and Consumer Protection Appropriation Act, 1975	",,
"Agua Caliente Equalization Act of 1959	",,
"Aid to Dependent Children Act	",,
"Aid, Trade, and Competitiveness Act of 1992 ",,
"AIDS Amendments of 1988	",,
"AIDS Housing Opportunity Act	",,
"Aimee's Law	",,
"Air Base Act	","See Wilcox Air Base Act	",
Air Brakes Act (Railroads) ,,
"Air Carriage of International Mail Act	",,
"Air Carrier Access Act of 1986	",,
Air Carrier Economic Regulation Act,,
"Air Commerce Act of 1926	",,
"Air Corps Act	",,
Air Engineering Development Center Act of 1949,,
"Air Engineering Duty Act	",,
"Air Force Academy Act	",,
"Air Force Headquarters Act	",,
"Air Force Organization Act of 1951	",,
"Air Force Science and Technology for the 21st Century Act	",,
"Air Mail Act	",,
"Air Pollution Control Act	","See Clean Air Act	",
"Air Quality Act of 1967	",,
"Air Raid Attack Act	",,
Air Safety Board Act,,
"Air Traffic Management System Performance Improvement Act of 1996	",,
"Air Transport Labor Act	","See Railway Labor Act	",
"Air Transportation Safety and System Stabilization Act	",,
"Air Transportation Security Act of 1974	",,
"Aircraft Contracts Act	",,
"Aircraft Development Act	",,
"Aircraft Equipment Settlement Leases Act of 1993	",,
"Aircraft Parts Secrecy Act	",,
"Aircraft Prize Act	",,
"Aircraft Registration Act	",,
Aircraft Sabotage Act,,
"Aircraft Safety Act of 2000	",,
"Airline Deregulation Act of 1978	",,
"Airline Flight Crew Technical Corrections Act	",,
"Airline Safety and Federal Aviation Administration Extension Act of 2010	",,
"Airport and Airway Development Act Amendments of 1976	",,
"Airport and Airway Development Act of 1970	",,
"Airport and Airway Extension Act of 2008	",,
Airport and Airway Extension Act of 2010,,
Airport and Airway Extension Act of 2010,,
Airport and Airway Extension Act of 2010,,
"Airport and Airway Extension Act of 2010	",,
Airport and Airway Extension Act of 2011,,
Airport and Airway Extension Act of 2011,,
Airport and Airway Extension Act of 2011,,
Airport and Airway Extension Act of 2011,,
"Airport and Airway Extension Act of 2011	",,
"Airport and Airway Improvement Act of 1982	",,
"Airport and Airway Revenue Act of 1970	",,
"Airport and Airway Revenue Act of 1987	",,
"Airport and Airway Safety and Capacity Expansion Act of 1987	",,
"Airport and Airway Safety, Capacity, Noise Improvement, and Intermodal Transportation Act of 1992 ",,
"Airport and Airway Trust Fund Tax Reinstatement Act of 1997	",,
"Airport Development Acceleration Act of 1973	",,
"Airport Improvement Program Temporary Extension Act of 1994	",,
"Airport Noise and Capacity Act of 1990	",,
"Airport Revenue Protection Act of 1996	",,
"Airport Security Improvement Act of 2000	",,
"Airways Modernization Act of 1957	",,
"Ak-Chin Water Use Amendments Act of 1992	",,
"Ak-Chin Water Use Amendments Act of 2000	",,
"Ala Kahakai National Historic Trail Act	",,
"Alaska Centennial Act of 1966	",,
"Alaska Civil Code	",,
"Alaska Coal Lands Act	",,
"Alaska Communications Disposal Act	",,
"Alaska Criminal Code	",,
"Alaska Federal-Civilian Energy Efficiency Swap Act of 1980	",,
"Alaska Fisheries Act	",,
"Alaska Five Acre Homestead Act	",,
"Alaska Fur Farming Act	",,
"Alaska Game Law	",,
"Alaska Government Act	",,
Alaska Housing Act,,
"Alaska Hydroelectric Power Development Act	",,
"Alaska Industrial School Act	",,
"Alaska International Highway Commission Act	",,
"Alaska International Rail and Highway Commission Act	",,
"Alaska Land Status Technical Corrections Act of 1992	",,
"Alaska Land Transfer Acceleration Act	",,
"Alaska Liquor Repeal Act	",,
"Alaska Livestock Grazing Act	",,
"Alaska Mental Health Enabling Act	",,
"Alaska Military Code	",,
"Alaska Miner's Labor Lien Act	","See Miner's Labor Lien Act	",
"Alaska National Interest Lands Conservation Act	",,
"Alaska Native Allotment Subdivision Act	",,
"Alaska Native and American Indian Direct Reimbursement Act of 2000	",,
Alaska Native and Native Hawaiian Education Through Cultural and Historical Organizations Act,,
"Alaska Native Claims Settlement Act Amendments of 1987	",,
"Alaska Native Claims Settlement Act	",,
Alaska Native Culture and Arts Development Act,,
"Alaska Native Educational Equity, Support and Assistance Act",,
"Alaska Native Educational Equity, Support, and Assistance Act",,
"Alaska Natural Gas Pipeline Act	",,
"Alaska Natural Gas Transportation Act of 1976	",,
"Alaska Omnibus Act	",,
"Alaska Power Administration Asset Sale and Termination Act	",,
"Alaska Prohibition Act	",,
"Alaska Public Works Act	",,
"Alaska Railroad Act	",,
"Alaska Railroad Retirement Act	",,
"Alaska Railroad Transfer Act of 1982	",,
"Alaska Relief of Indigent Act	",,
"Alaska Right of Way Act	",,
"Alaska Road and Trail Act	",,
"Alaska Salmon Fisheries Act	",,
"Alaska Special Peace Officers Act	",,
"Alaska Statehood Act	",,
"Alaskan Airports Act	",,
"Alaskan Native Townsite Act of 1926	",,
Albert Einstein Distinguished Educator Fellowship Act of 1994,,
"Albuquerque Indian School Act	",,
"Alcohol Abuse, Drug Abuse, and Mental Health Amendments of 1984 ",,
"Alcohol and Drug Abuse Amendments of 1983	",,
"Alcohol and Drug Abuse Amendments of 1986	",,
"Alcohol and Drug Abuse Education Act Amendments of 1974	",,
"Alcohol and Drug Abuse Education Act	",,
"Alcohol and Drug Abuse Education Amendments of 1978	",,
"Alcohol Plants Transfer Act	",,
"Alcoholic and Narcotic Addict Rehabilitation Amendments of 1968	",,
Alcoholic Beverage Labeling Act of 1988,,
Alcoholic Rehabilitation Act of 1968,,
Aldrich Act (Currency) ,,
Aldrich-Vreeland Act (National Currency Associations) ,,
"Aleutian and Pribilof Islands Restitution Act	",,
"Aleutian Trade Act of 1990	",,
"Aleutian World War II National Historic Areas Act of 1996	",,
"Alien Agency Act	",,
"Alien Contract Labor Law of 1895	",,
"Alien Enemy Act	",,
"Alien Registration Act, 1940	",,
"Alien Species Prevention and Enforcement Act of 1992	",,
"Alien Veterans Act	",,
"Alien Visa Act	",,
"All Writs Act	",,
"Allegheny Portage Railroad National Historic Site Boundary Revision Act	",,
"Allied Health Professions Personnel Training Act of 1966	",,
"Alpine Lakes Area Management Act of 1976	",,
"ALS Registry Act	",,
"Alternative Agricultural Research and Commercialization Act of 1990	",,
"Alternative Dispute Resolution Act of 1998	",,
"Alternative Mortgage Transaction Parity Act of 1982	",,
"Alternative Motor Fuels Act of 1988	",,
Alternative Routes to Teacher Certification and Licensure Act of 1992,,
"Alternative Water Sources Act of 2000	",,
"Alzheimer's Disease and Related Dementias Research Act of 1992	",,
"Alzheimer's Disease and Related Dementias Services Research Act of 1986	","Renamed Alzheimer's Disease and Related Dementias Research Act of 1992	",
"Alzheimer's Disease Research, Training, and Education Amendments of 1992 ",,
"Amateur Sports Act of 1978	",,
"Amber Hagerman Child Protection Act of 1996	",,
"Amendments of 1973 to Federal Law Relating to Explosives	",,
"America COMPETES Act	",,"Also known as the America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Act "
"America COMPETES Reauthorization Act of 2010	",,"Also known as America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010 "
"America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Act ",,"Also known as the America COMPETES Act	"
"America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010 ",,"Also known as America COMPETES Reauthorization Act of 2010	"
"America the Beautiful Act of 1990	",,
"American 5-Cent Coin Design Continuity Act of 2003	",,
"American Aid to Poland Act of 1988	",,
"American Antiquities Preservation Act	",See National Monument Act (Preservation of Antiquities) ,
American Arts Gold Medallion Act,,
American Automobile Labeling Act,,
"American Bald Eagle Recovery and National Emblem Commemorative Coin Act	",,
"American Battlefield Protection Act of 1996	",,
"American Buffalo Coin Commemorative Coin Act of 2000	",,"Also known as the National Museum of the American Indian Commemorative Coin Act of 2000	"
"American Communities' Right to Public Information Act	",,
"American Competitiveness and Workforce Improvement Act of 1998	",,
"American Competitiveness in the Twenty-first Century Act of 2000	",,
"American Conservation and Youth Service Corps Act of 1990	",,
"American Dream Downpayment Act	",,
"American Eagle Palladium Bullion Coin Act of 2010	",,
"American Fire Act	",,
"American Fisheries Act	",,
"American Fisheries Promotion Act	",,
"American Folklife Preservation Act	",,
"American Heart Month Act	",,
"American History and Civics Education Act of 2004	",,
"American Homeownership and Economic Opportunity Act of 2000	",,
"American Indian Agricultural Resource Management Act	",,
"American Indian Education Foundation Act of 2000	",,
"American Indian Probate Reform Act of 2004	",,
"American Indian Religious Freedom Act Amendments of 1994	",,
"American Indian Religious Freedom Act	",,
"American Indian Trust Fund Management Reform Act of 1994	",,
"American Indian, Alaska Native, and Native Hawaiian Culture and Art Development Act ",,
"American Institute in Taiwan Facilities Enhancement Act	",,
"American Inventors Protection Act of 1999	",,
"American Jobs Creation Act of 2004	",,
"American National Red Cross Act	",,
"American National Red Cross Headquarters Act	",,
"American Printing House for the Blind Amendments of 1988	",,
"American Recovery and Reinvestment Act of 2009	",,
"American Recovery and Reinvestment Tax Act of 2009	",,
"American Samoa Labor Standards Amendments of 1956	",,
"American Servicemembers' Protection Act of 2002	",,
"American Society of International Law Headquarters Act	",,
"American Society of International Law Incorporation Act	",,
"American Technology Preeminence Act of 1991	",,
"American Television and Radio Archives Act	",,
"American University Incorporation Amendments Act of 1990	",,
"American Veterans Disabled for Life Commemorative Coin Act	",,
"American War Mothers Incorporation Act	",,
"American-Mexican Boundary Treaty Act of 1972	",,
"American-Mexican Chamizal Convention Act of 1964	",,
"American-Mexican Treaty Act of 1950	",,
"Americans with Disabilities Act of 1990	",,
"America's Beautiful National Parks Quarter Dollar Coin Act of 2008	",,
"America's Cup Act of 2011	",,
"America's Law Enforcement and Mental Health Project	",,
"Amtrak Authorization and Development Act	",,
"Amtrak Improvement Act of 1973	",,
"Amtrak Improvement Act of 1974	",,
"Amtrak Improvement Act of 1975	",,
Amtrak Improvement Act of 1976,,
"Amtrak Improvement Act of 1978	",,
Amtrak Improvement Act of 1981,,
Amtrak Reauthorization Act of 1985,,
"Amtrak Reauthorization and Improvement Act of 1990	",,
"Amtrak Reform and Accountability Act of 1997	",,
Amtrak Reorganization Act of 1979,,
"Amvets Incorporation Act	",,
"Amy Boyer's Law	",,
"Amy Somers Volunteers at Food Banks Act	",,
"Anabolic Steroid Control Act of 2004	",,
Anabolic Steroids Control Act of 1990,,
"Anadromous Fish Conservation Act	",,
"Anchorage Grounds Act	",,
"ANCSA Land Bank Protection Act of 1998	",,
Andean Trade Preference Act,,
"Andean Trade Preference Extension Act of 2008	",,
Andean Trade Preferences Extension Act,,
Andean Trade Promotion and Drug Eradication Act,,
"Anderson-Price Atomic Energy Damages Act	","See Atomic Energy Damages Act	",
"Andrew Johnson Homestead National Monument Act	",,
"Angel Island Immigration Station Restoration and Preservation Act	",,
"Anglo-Irish Agreement Support Act of 1986	",,
"Animal Cancer Research Act	",,
"Animal Crush Video Prohibition Act of 2010	",,
"Animal Disease Control Cooperation Act of 1947	",,
"Animal Disease Risk Assessment, Prevention, and Control Act of 2001 ",,
"Animal Drug Amendments of 1968	",,
"Animal Drug Availability Act of 1996	",,
"Animal Drug User Fee Act of 2003	",,
Animal Drug User Fee Amendments of 2008,,
"Animal Enterprise Protection Act of 1992	",,
"Animal Enterprise Terrorism Act	",,
"Animal Fighting Prohibition Enforcement Act of 2007	",,
Animal Generic Drug User Fee Act of 2008,,
Animal Health Protection Act,,
"Animal Industry Act	",,
"Animal Medicinal Drug Use Clarification Act of 1994	",,
"Animal Virus, Serum, Toxin, Antitoxin Act ",,
"Animal Welfare Act Amendments of 1976	",,
"Animal Welfare Act of 1970	",,
"Animal Welfare Act	",,
Annual and Sick Leave Act of 1951,,
Annunzio-Wylie Anti-Money Laundering Act,,
"Antarctic Conservation Act of 1978	",,
Antarctic Marine Living Resources Convention Act of 1984,,
"Antarctic Protection Act of 1990	",,
"Antarctic Science, Tourism, and Conservation Act of 1996 ",,
"Anthracite Mine Water Control Act	",,
"Anthropological Research Act	",,
"Anti Car Theft Act of 1992	",,
"Anti-Arson Act of 1982	",,
"Anti-Assignment Act	",,
"Anti-Border Corruption Act of 2010	",,
"Anti-Car Theft Improvements Act of 1996	",,
Anti-counterfeiting Amendments Act of 2004,,
"Anticounterfeiting Consumer Protection Act of 1996	",,
"Anticybersquatting Consumer Protection Act	",,
Anti-Deficiency Act,,
"Anti-Drug Abuse Act of 1986	",,
"Anti-Drug Abuse Act of 1988	",,
Anti-Drug Abuse Amendments Act of 1988,,
"Anti-Dumping Act, 1921",,
Anti-Economic Discrimination Act of 1994,,
"Anti-Gag Law	",,
Anti-Gambling Act (District of Columbia) ,,
"Anti-Heroin Act	",,
Antihijacking Act of 1974,,
Anti-Immunity Act (Trusts and Interstate Commerce) ,,
"Anti-Injunction Law	",,
"Anti-Kickback Act of 1986	",,
"Anti-Kickback Act	","See Copeland Anti-Kickback Act	",
"Anti-Kickback Enforcement Act of 1986	",,
"Anti-Lobbying Act	",,
"Anti-Lottery Act	",,
"Anti-Merger Act	",,
"Antimicrobial Regulation Technical Corrections Act of 1998	",,
Anti-Moiety Act (Informers) ,,
"Anti-Peonage Act	",,
"Antiquities Act of 1906	",,Also known as the National Monument Act (Preservation of Antiquities) 
"Anti-Racketeering Act	",,
Anti-Rebate Act (Railroads) ,,
Anti-Reviver Act (Repeals) ,,
Anti-Secrecy Act (Departmental Information) ,,
"Anti-Smuggling Act	",,
"Anti-Strike Act	","See War Labor Disputes Act	",
"Anti-Strikebreaking Act	",,
"Anti-Subversive Activities Act	",,
Anti-Terrorism Act of 1987,,
"Antiterrorism Act of 1990	",,
"Anti-Terrorism and Arms Export Amendments Act of 1989	",,
"Antiterrorism and Effective Death Penalty Act of 1996	",,
"Antitrust Amendments Act of 1990	",,
"Antitrust Civil Process Act	",,
"Antitrust Criminal Penalty Enhancement and Reform Act of 2004 Extension Act	",,
Antitrust Criminal Penalty Enhancement and Reform Act of 2004,,
Antitrust Modernization Commission Act of 2002,,
"Antitrust Modernization Commission Extension Act of 2007	",,
"Antitrust Procedural Improvements Act of 1980	",,
"Antitrust Procedures and Penalties Act	",,
Antitrust Technical Corrections Act of 2002,,
"Anton's Law	",,
"Apex Project, Nevada Land Transfer and Authorization Act of 1989 ",,
Appalachian Forest Act (Forest Conservation) ,"See Weeks Law	",
"Appalachian Regional Development Act Amendments of 1967	",,
"Appalachian Regional Development Act Amendments of 1969	",,
"Appalachian Regional Development Act Amendments of 1971	",,
"Appalachian Regional Development Act Amendments of 1975	",,
"Appalachian Regional Development Act Amendments of 2002	",,
"Appalachian Regional Development Act Amendments of 2008	",,
"Appalachian Regional Development Act of 1965	",,
"Appalachian Regional Development Reform Act of 1998	",,
"Appalachian States Low-Level Radioactive Waste Compact Consent Act	",,
"Appeal Time Clarification Act of 2011	",,
"Arabia Mountain National Heritage Area Act	",,
"Arapaho and Roosevelt National Forests Land Exchange Act of 2004	",,
Arbitration Act (Labor Disputes) ,,
"Archaeological Resources Protection Act of 1979	",,
"Arches National Park Act	",,
"Arches National Park Expansion Act of 1998	",,
Architect of the Capitol Human Resources Act,,
Architect of the Capitol Inspector General Act of 2007,,
"Architectural Barriers Act of 1968	",,
Architectural Works Copyright Protection Act,,
Arctic Research and Policy Act of 1984,,
"Arctic Tundra Habitat Emergency Conservation Act	",,
"Area Redevelopment Act	",,
"Arid Land Act	",,
Arizona Desert Wilderness Act of 1990,,
"Arizona National Forest Improvement Act of 2000	",,
"Arizona Statehood and Enabling Act Amendments of 1999	",,
"Arizona Water Settlements Act	",,
"Arizona Wilderness Act of 1984	",,
"Arizona Wilderness Land Title Resolution Act of 1994	",,
"Arizona-Idaho Conservation Act of 1988	",,
"Arkansas Wild and Scenic Rivers Act of 1992	",,
"Arkansas Wilderness Act of 1984	",,"Also known as the Dale Bumpers Wilderness Resources Protection Act	"
"Arkansas-Idaho Land Exchange Act of 1992	",,
"Armament Conference Resolution	","See Disarmament Conference Resolution	",
