SP800-87 Code,Parent,SP800-87 Description
20LP,,International Criminal Police Organization (INTERPOL)
2100,,Department of the Army (except Corps of Engineers Civil program financing) 
2130,2100,National Guard Bureau 
21AE,2100,Acquisition Executive Support Command Agency 
21AS,2100,U.S. Army Intelligence and Security Command 
21AT,21SC,U.S. Army Test and Evaluation Command 
21AU,2100,U.S. Army Audit Agency 
21BA,2100,U.S. Army Installation Management Agency 
21CB,2100,U.S. Army Criminal Investigation Command 
21CE,2100,"U.S. Army Corps of Engineers, except civil program financing "
21CS,2100,Immediate Office of the Chief of Staff of the Army 
21CZ,2100,U.S. Army Information Systems Command 
21E1,2100,Immed. Office - Comm.-In-Chief - U.S. Army Europe & 7th Army 
21E2,2100,21st Theater Army Area Command 
21E3,2100,U.S. Army Southern European Task Force 
21E5,2100,U.S. Army V Corps 
21EB,2100,1st Personnel Command 
21ED,2100,"U.S. Military Community Activity, Heidelberg "
21EN,2100,Seventh Army Training Command 
21EO,2100,59th Ordnance Brigade 
21FC,2100,U.S. Army Forces Command 
21FL,2100,U.S. Army South Command 
21G6,2100,U.S. Army Network Enterprise Technology Command/9th Army Signal Command 
21GB,2130,Office of the Chief of the National Guard Bureau 
21HR,2100,U.S. Army Reserve Command 
21HS,2100,U.S. Army Health Services Command 
21J1,2100,U.S. Army Element SHAPE 
21JA,2100,Joint Activities 
21MA,2100,U.S. Military Academy 
21MC,2100,U.S. Army Medical Command 
21MD,2100,Surgeon General 
21MP,2100,U.S. Army Human Resources Command 
21MT,2100,Military Traffic Management Command 
21MW,2100,U.S. Army Military District of Washington 
21NG,2130,Army National Guard Units (Title 32) 
21P1,2100,"U.S. Army, Pacific "
21P8,2100,Eighth U.S. Army 
21PC,2100,Military Entrance Processing Command 
21RC,2100,U.S. Army Recruiting Command 
21SA,2100,Office of the Secretary of the Army 
21SB,2100,Field Operating Offices of the Office of the Secretary of the Army 
21SC,2100,U.S. Army Space and Strategic Defense Command 
21SE,2100,Field Operating Agencies of the Army Staff Resourced through OA-22 
21SF,2100,Field Operating Agencies of the Army Staff 
21SJ,2100,"Joint Services & Activities Supported by the Office, Sec'y of the Army "
21SP,2100,U.S. Special Operation Command (Army) 
21SS,2100,"Staff Support Agencies of the Chief of Staff, Army "
21SU,2100,U.S. Army Southern Command 
21TC,2100,U.S. Army Training and Doctrine Command 
21X1,2100,U.S. Army Materiel Command (AMC) 
21X2,21X1,"Headquarters, Army Materiel Command "
21X3,21X1,"Headquarters, Staff Support Activities, AMC "
21X4,21X1,"Training Activities, AMC "
21X5,21X1,"U.S. Army Materiel Command, all others "
21X6,21X1,U.S. Army Missile Command 
21X7,21X1,U.S. Army Tank-Auto. & Armament Command (TACOM) 
21X8,21X1,U.S. Army Communications Electronics Command 
21X9,21X1,"U.S.A. Simulation, Training & Instrumentation Command "
21XA,21X1,U.S. Army Chemical And Biological Defense Command 
21XB,21X1,U.S. Army Chemical Materials Command 
21XC,21X1,U.S. Army Soldiers System Command (SSC) 
21XD,21X1,U.S. Army Research Laboratory Command 
21XK,21X1,Materiel Acquisition Activities 
21XL,21X1,Materiel Acquisition Project Managers 
21XP,21X1,U.S. Army Security Assistance Command 
21XQ,21X1,U.S. Army Operations Support Command 
21XR,21X1,"U.S. Army Research, Development and Engineering Command "
21XT,21X1,"U.S. Army Test, Measure, & Diagnostic Equip. Activity "
21XX,21X1,Materiel Readiness Activities 
2281,,Resolution Funding Corporation (REFCORP) 
2300,,U.S. Tax Court 
2400,,Office of Personnel Management
2460,,Federal Prevailing Rate Advisory Committee 
2461,,President's Commission on White House Fellowships 
24P1,2400,"Federal Executive Board-Albuquerque, NM "
24P4,2400,"Federal Executive Board-Atlanta, GA "
24P7,2400,"Federal Executive Board-Baltimore, MD "
24Q1,2400,"Federal Executive Board-Boston, MA "
24Q4,2400,"Federal Executive Board-Buffalo, NY "
24Q7,2400,"Federal Executive Board-Chicago, IL "
24R1,2400,"Federal Executive Board-Cincinnati, OH "
24R4,2400,"Federal Executive Board-Cleveland, OH "
24R7,2400,"Federal Executive Board-Dallas-Ft.Worth, TX "
24S1,2400,"Federal Executive Board-Denver, CO "
24S4,2400,"Federal Executive Board-Detroit, MI "
24S7,2400,"Federal Executive Board-Honolulu, HI "
24T1,2400,"Federal Executive Board-Houston, TX "
24T4,2400,"Federal Executive Board-Kansas City, KS "
24T7,2400,"Federal Executive Board-Los Angeles, CA "
24V1,2400,"Federal Executive Board-Miami, FL "
24V4,2400,"Federal Executive Board-Newark, NJ "
24V7,2400,"Federal Executive Board-New Orleans, LA "
24W1,2400,"Federal Executive Board-New York City, NY "
24W4,2400,"Federal Executive Board-Oklahoma, City, OK "
24W7,2400,"Federal Executive Board-Philadelphia, PA "
24X1,2400,"Federal Executive Board-Pittsburgh, PA "
24X4,2400,"Federal Executive Board-Portland, OR "
24X7,2400,"Federal Executive Board-St. Louis, MO "
24Y1,2400,"Federal Executive Board-San Antonio, TX "
24Y4,2400,"Federal Executive Board-San Francisco, CA "
24Y7,2400,"Federal Executive Board-Seattle, WA "
24Z1,2400,"Federal Executive Board-Twin Cities, MN "
2500,,National Credit Union Administration 
2600,,Federal Retirement Thrift Investment Board 
2700,,Federal Communications Commission 
2800,,Social Security Administration
2801,2800,Office of the Commissioner 
2803,2800,Office of the General Counsel 
2804,2800,Office of the Inspector General 
2805,2800,"Dep. Comm. - Finance, Assessment and Management and Senior Financial Executive"
2806,2800,"Deputy Comm. - Programs, Policy, Evaluation, and Communications"
2807,2800,Deputy Commissioner - Legislation and Congressional Affairs 
2810,2800,Deputy Commissioner - Human Resources 
2811,2800,Deputy Commissioner - Systems 
2812,2800,Deputy Commissioner - Operations 
2814,2800,Office of the Chief Actuary 
2816,2800,Deputy Commissioner - Communications 
2818,2800,Deputy Commissioner - Disability and Income Security Programs 
2900,,Federal Trade Commission 
3100,,Nuclear Regulatory Commission 
3300,,Smithsonian Institution 
3320,,"Smithsonian Institution, except units administered under separate Board of Trustees "
3352,,John F. Kennedy Center for the Performing Arts 
3355,,National Gallery of Art 
3358,,Woodrow Wilson International Center for Scholars 
3400,,U.S. International Trade Commission
3600,,Department of Veterans Affairs
3601,3600,Office of the Secretary
3602,3601,Office of the Deputy Secretary
3603,3600,General Counsel 
3604,3600,Inspector General 
3605,3600,Assistant Secretary for Management 
3606,3600,Assistant Secretary for Policy and Planning 
3607,3600,Assistant Secretary for Public and Intergovernmental Affairs 
3608,3600,Assistant Secretary for Congressional and Legislative Affairs 
3610,3600,Board of Veterans Appeals 
3611,3600,Assistant Secretary for Human Resources and Administration 
3612,3600,Board of Contract Appeals 
3613,3600,Office of Small and Disadvantaged Business Utilization 
3615,3601,Center for Minority Veterans 
3616,3601,Center for Women Veterans 
3617,3601,Office of Employment Discrimination Complaint Adjudication 
3618,3601,Special Assistant for Veterans Service Organization Liaison 
3619,3601,Chief of Staff 
3620,3600,Under Secretary for Health / Veterans Health Administration 
3621,3650,"Director, Austin Automation Center "
3622,3606,Deputy Assistant Secretary for Policy 
3623,3606,Deputy Assistant Secretary for Planning and Evaluation 
3624,3606,Immediate Office of Assistance Secretary for Policy and Planning 
3625,3605,Deputy Assistant Secretary for Budget 
3627,3605,Deputy Assistant Secretary for Financial Management 
3628,3605,Immediate Office of Assistant Secretary for Management 
3630,3600,Under Secretary for Memorial Affairs / National Cemetery System 
3632,3611,Deputy Assistant Secretary for Diversity and Equal Employment Opportunity 
3633,3611,Director - Office of Administration 
3634,3611,Deputy Assistant Secretary for Human Resources Management and Labor Relations 
3636,3607,Immed. Office - Assist. Sec'y for Public & Intergov. Affairs 
3637,3607,Deputy Assistant Secretary for Intergovernmental Affairs and International Affairs 
3638,3607,Deputy Assistant Secretary for Public Affairs 
3640,3600,Under Secretary for Benefits / Veterans Benefit Administration 
3641,3611,Deputy Assist. Sec'y for Office of Resolution Management 
3643,3605,Deputy Assist. Sec'y for Acquisition and Materiel Management 
3644,3605,Director - Asset Enterprise Management 
3645,3611,Associate Deputy for Labor - Management Relations 
3646,3608,Immediate Office of Assistant Secretary for Congressional and and Legislative Affairs 
3647,3608,"Director, Congressional Affairs "
3648,3608,Deputy Assistant Secretary for Legislative Affairs 
3649,3611,Immed. Office - Assist. Sec'y - Human Resources & Admin. 
3650,3600,Assistant Secretary for Information and Technology 
3651,3650,Immediate Office of the Assist. Sec. - Info. & Technology 
3652,3650,Deputy Assistant Sec. For Information & Technology 
3655,3606,Deputy Assistant Secretary for Security Preparedness 
3656,3606,Deputy Assistant Secretary for Security and Law Enforcement 
4100,,Merit Systems Protection Board 
4500,,Equal Employment Opportunity Commission 
4567,,Interagency Committee on Employment of People with Disabilities 
4602,,Appalachian Regional Commission 
4607,,Interstate Commission on the Potomac River Basin 
4608,,The Port Authority of NY and NJ
4609,,Washington Metropolitan Area Transit Authority 
4700,,General Services Administration
4701,4700,Immediate Office of the Administrator 
4703,4700,Office of General Counsel 
4704,4700,Office of Inspector General 
4705,4700,Office of the Chief People Officer 
4707,4700,Office of Congressional and Intergovernmental Affairs 
4708,4700,Office of Citizen Services and Communications 
4712,4700,GSA Board of Contract Appeals 
4717,4700,Office of the Chief Financial Officer 
4722,4700,Offices of the Regional Administrators 
4724,4700,Office of Civil Rights 
4728,4700,Office of Small Business Utilization 
4732,4700,Office of the Federal Acquisition Service 
4740,4700,Public Buildings Service 
4743,4700,Office of Childcare 
4745,4700,Office of Governmentwide Policy 
4750,4700,Office of the Chief Information Officer 
4760,4700,Office of the Chief Acquisition Officer 
4808,,National Bipartisan Commission on the Future of Medicare 
4817,,State Justice Institute 
4827,,Commission on Ocean Policy 
4835,,Medicare Payment Advisory Commission 
4836,,"Commission on Executive, Legislative and Judicial Salaries "
4849,,Office of Navajo and Hopi Indian Relocation 
4856,,Nuclear Waste Technical Review Board 
4860,,United State-China Economic and Security Review Commission 
4864,,U.S. Commission on International Religious Freedom 
4900,,National Science Foundation
4960,,National Science Board 
4965,,Arctic Research Commission 
49SA,,International Astronomical Union 
49SB,,International Union of Biological Sciences 
49SC,,International Union of Pure and Applied Chemistry 
49SD,,International Union of Geodesy and Geophysics 
49SE,,International Geological Union 
49SF,,International Union of Pure and Applied Physics 
49SG,,International Geographical Union 
49SK,,International Union of Biochemistry & Molecular Biology 
49SM,,International Mathematical Union 
49SN,,International Union of Nutritional Sciences 
49SO,,International Commission on Optics 
49SP,,International Union of Physiological Sciences 
49SQ,,International Union for Quaternary Research 
